,Ingredient,Quantity
0,Oil,7513.0
1,Onion,7930.5
2,Corn Tortillas,4900.0
3,Eggs,7946.0
4,Salt,7225.25
5,Tomato Sauce,9419.0
6,Montery Jack Cheese,9729.0
7,Olive Oil,9467.0
8,Ground Beef,9247.0
9,Flour Tortillas,6418.0
10,Taco Shells,9662.0
11,Cheese,8690.0
12,Boneless Chicken Breast,8310.0
13,Cheddar Cheese,9827.0
14,Oregano,9913.5
15,Pepper,8610.5
16,Garlic,6962.0
17,Fajita Seasoning,9442.0
18,Bell Peppers,9628.0
19,Bacon ,8140.0
20,Red Pepper Flakes,9914.0
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,7988.0
27,Breadcrumbs,9948.400000000125
28,Egg,9601.0
29,Fettuccini,5968.0
30,Butter,9236.5
31,Cream,9832.0
32,Romano Cheese,9874.0
33,Parmesan Cheese,9916.0
34,All Purpose Flour,8494.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9939.25
39,Barbecue Sauce,9939.25
40,Bacon Strips,9028.0
41,Steak Seasoning,9757.0
42,Hamburger Buns,9514.0
43,Lettuce Leaves,9514.0
44,Beef Cube Steaks,9880.5
45,Baking Powder,9283.0
46,Baking Soda,9761.0
47,Soy Sauce,7657.0
48,Sesame Oil,9710.0
49,Chicken Broth,9820.0
50,Sugar,8533.0
51,Noodles,6176.0
52,Vegetable Oil,7697.0
53,Mixed Veggies,9770.0
54,Asian Chile Paste,9770.0
55,Chickpeas,9583.0
56,Flour,9508.0
57,Cumin,9526.0
58,Caradamom,9754.0
59,Yogurt,9772.0
60,Tahini,9544.0
61,Pine Nuts,9544.0
62,Spinach,9331.0
63,Sushi Rice,9820.0
64,Rice Vinegar,9820.0
65,Sesame Seeds,9276.0
66,Bamboo Sushi Mat,9280.0
67,Crabmeat,9910.0
68,Tuna,9818.0
69,Chives,9909.0
70,Sweet Potato,9820.0
71,Mushroom,9524.0
72,Mirin,9640.0
73,Cabbage,9671.5
74,Pork Chops,9445.0
75,Shrimp,9768.0
76,Lemongrass,9536.0
77,Red Chilli Paste,9536.0
78,Fish Sauce,8842.0
79,Lime Juice,7456.0
80,Curry Powder,9764.0
81,Coconut Milk,9056.0
82,Chicken,9076.0
83,Oyster Sauce,9546.0
84,Ginger Garlic Paste,9539.0
85,Chili Powder,9536.0
86,Garam Masala,9198.5
87,Lemon,9774.0
88,Cilantro,9102.0
89,Tumeric Powder,9944.25
90,Potato,9554.0
91,Cauliflower,9888.5
