,Ingredient,Quantity
0,Oil,8047.0
1,Onion,8374.75
2,Corn Tortillas,6040.0
3,Eggs,8399.0
4,Salt,7838.0
5,Tomato Sauce,9539.0
6,Montery Jack Cheese,9799.0
7,Olive Oil,9597.0
8,Ground Beef,9411.0
9,Flour Tortillas,7280.0
10,Taco Shells,9734.0
11,Cheese,9014.0
12,Boneless Chicken Breast,8675.0
13,Cheddar Cheese,9862.0
14,Oregano,9931.0
15,Pepper,8910.0
16,Garlic,7597.0
17,Fajita Seasoning,9595.0
18,Bell Peppers,9730.0
19,Bacon ,8650.0
20,Red Pepper Flakes,9928.5
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,8393.0
27,Breadcrumbs,9957.100000000104
28,Egg,9680.0
29,Fettuccini,6688.0
30,Butter,9391.5
31,Cream,9862.0
32,Romano Cheese,9896.5
33,Parmesan Cheese,9931.0
34,All Purpose Flour,8849.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9955.0
39,Barbecue Sauce,9955.0
40,Bacon Strips,9280.0
41,Steak Seasoning,9820.0
42,Hamburger Buns,9640.0
43,Lettuce Leaves,9640.0
44,Beef Cube Steaks,9903.0
45,Baking Powder,9435.0
46,Baking Soda,9806.0
47,Soy Sauce,8191.0
48,Sesame Oil,9770.5
49,Chicken Broth,9860.5
50,Sugar,8864.0
51,Noodles,7035.0
52,Vegetable Oil,8252.0
53,Mixed Veggies,9817.0
54,Asian Chile Paste,9817.0
55,Chickpeas,9689.5
56,Flour,9646.0
57,Cumin,9645.0
58,Caradamom,9823.0
59,Yogurt,9822.0
60,Tahini,9644.0
61,Pine Nuts,9644.0
62,Spinach,9463.0
63,Sushi Rice,9863.0
64,Rice Vinegar,9863.0
65,Sesame Seeds,9456.0
66,Bamboo Sushi Mat,9452.0
67,Crabmeat,9931.5
68,Tuna,9865.0
69,Chives,9932.5
70,Sweet Potato,9865.0
71,Mushroom,9637.5
72,Mirin,9730.0
73,Cabbage,9749.5
74,Pork Chops,9589.0
75,Shrimp,9815.0
76,Lemongrass,9630.0
77,Red Chilli Paste,9630.0
78,Fish Sauce,9097.0
79,Lime Juice,7973.0
80,Curry Powder,9818.0
81,Coconut Milk,9272.0
82,Chicken,9280.0
83,Oyster Sauce,9646.0
84,Ginger Garlic Paste,9629.0
85,Chili Powder,9631.0
86,Garam Masala,9363.0
87,Lemon,9822.0
88,Cilantro,9284.0
89,Tumeric Powder,9955.0
90,Potato,9640.0
91,Cauliflower,9910.0
