,Ingredient,Quantity
0,Oil,6068.0
1,Onion,6736.75
2,Corn Tortillas,2080.0
3,Eggs,6765.0
4,Salt,5691.75
5,Tomato Sauce,9093.0
6,Montery Jack Cheese,9596.0
7,Olive Oil,9174.0
8,Ground Beef,8809.0
9,Flour Tortillas,4556.0
10,Taco Shells,9452.0
11,Cheese,7976.0
12,Boneless Chicken Breast,7369.0
13,Cheddar Cheese,9728.0
14,Oregano,9864.0
15,Pepper,7857.0
16,Garlic,5204.0
17,Fajita Seasoning,9184.0
18,Bell Peppers,9456.0
19,Bacon ,7280.0
20,Red Pepper Flakes,9863.0
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,6870.0
27,Breadcrumbs,9917.8000000002
28,Egg,9369.0
29,Fettuccini,3424.0
30,Butter,8804.5
31,Cream,9726.0
32,Romano Cheese,9794.5
33,Parmesan Cheese,9863.0
34,All Purpose Flour,7746.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9907.75
39,Barbecue Sauce,9907.75
40,Bacon Strips,8524.0
41,Steak Seasoning,9631.0
42,Hamburger Buns,9262.0
43,Lettuce Leaves,9262.0
44,Beef Cube Steaks,9824.5
45,Baking Powder,8939.0
46,Baking Soda,9649.0
47,Soy Sauce,6379.0
48,Sesame Oil,9550.0
49,Chicken Broth,9721.0
50,Sugar,7744.0
51,Noodles,4022.0
52,Vegetable Oil,6474.0
53,Mixed Veggies,9643.0
54,Asian Chile Paste,9643.0
55,Chickpeas,9357.75
56,Flour,9272.0
57,Cumin,9265.0
58,Caradamom,9636.0
59,Yogurt,9629.0
60,Tahini,9258.0
61,Pine Nuts,9258.0
62,Spinach,8902.0
63,Sushi Rice,9731.0
64,Rice Vinegar,9731.0
65,Sesame Seeds,8910.0
66,Bamboo Sushi Mat,8924.0
67,Crabmeat,9865.5
68,Tuna,9724.0
69,Chives,9862.0
70,Sweet Potato,9728.0
71,Mushroom,9272.5
72,Mirin,9456.0
73,Cabbage,9492.5
74,Pork Chops,9157.0
75,Shrimp,9633.0
76,Lemongrass,9266.0
77,Red Chilli Paste,9266.0
78,Fish Sauce,8185.0
79,Lime Juice,5986.0
80,Curry Powder,9633.0
81,Coconut Milk,8532.0
82,Chicken,8550.0
83,Oyster Sauce,9286.0
84,Ginger Garlic Paste,9273.0
85,Chili Powder,9271.0
86,Garam Masala,8735.0
87,Lemon,9642.0
88,Cilantro,8572.0
89,Tumeric Powder,9911.0
90,Potato,9288.0
91,Cauliflower,9822.0
