,Ingredient,Quantity
0,Oil,7797.0
1,Onion,8159.75
2,Corn Tortillas,5500.0
3,Eggs,8166.0
4,Salt,7538.75
5,Tomato Sauce,9486.0
6,Montery Jack Cheese,9763.0
7,Olive Oil,9543.0
8,Ground Beef,9340.0
9,Flour Tortillas,6870.0
10,Taco Shells,9714.0
11,Cheese,8842.0
12,Boneless Chicken Breast,8502.5
13,Cheddar Cheese,9847.0
14,Oregano,9923.5
15,Pepper,8752.5
16,Garlic,7275.0
17,Fajita Seasoning,9514.0
18,Bell Peppers,9676.0
19,Bacon ,8380.0
20,Red Pepper Flakes,9922.0
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,8156.0
27,Breadcrumbs,9953.200000000114
28,Egg,9641.0
29,Fettuccini,6208.0
30,Butter,9317.5
31,Cream,9842.0
32,Romano Cheese,9881.5
33,Parmesan Cheese,9921.0
34,All Purpose Flour,8654.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9945.5
39,Barbecue Sauce,9945.5
40,Bacon Strips,9128.0
41,Steak Seasoning,9782.0
42,Hamburger Buns,9564.0
43,Lettuce Leaves,9564.0
44,Beef Cube Steaks,9889.5
45,Baking Powder,9353.0
46,Baking Soda,9779.0
47,Soy Sauce,7918.0
48,Sesame Oil,9735.75
49,Chicken Broth,9840.25
50,Sugar,8694.0
51,Noodles,6597.5
52,Vegetable Oil,7969.0
53,Mixed Veggies,9789.0
54,Asian Chile Paste,9789.0
55,Chickpeas,9639.75
56,Flour,9578.0
57,Cumin,9590.0
58,Caradamom,9789.0
59,Yogurt,9801.0
60,Tahini,9602.0
61,Pine Nuts,9602.0
62,Spinach,9391.0
63,Sushi Rice,9844.0
64,Rice Vinegar,9844.0
65,Sesame Seeds,9374.0
66,Bamboo Sushi Mat,9376.0
67,Crabmeat,9922.0
68,Tuna,9843.0
69,Chives,9921.5
70,Sweet Potato,9844.0
71,Mushroom,9585.5
72,Mirin,9688.0
73,Cabbage,9706.5
74,Pork Chops,9493.0
75,Shrimp,9795.0
76,Lemongrass,9590.0
77,Red Chilli Paste,9590.0
78,Fish Sauce,8971.0
79,Lime Juice,7740.0
80,Curry Powder,9791.0
81,Coconut Milk,9164.0
82,Chicken,9190.0
83,Oyster Sauce,9594.0
84,Ginger Garlic Paste,9585.0
85,Chili Powder,9593.0
86,Garam Masala,9295.0
87,Lemon,9804.0
88,Cilantro,9200.0
89,Tumeric Powder,9949.0
90,Potato,9592.0
91,Cauliflower,9898.0
