,Ingredient,Quantity
0,Oil,5837.0
1,Onion,6509.25
2,Corn Tortillas,1330.0
3,Eggs,6508.0
4,Salt,5394.75
5,Tomato Sauce,9018.0
6,Montery Jack Cheese,9564.5
7,Olive Oil,9117.0
8,Ground Beef,8731.0
9,Flour Tortillas,4120.0
10,Taco Shells,9422.0
11,Cheese,7798.0
12,Boneless Chicken Breast,7160.0
13,Cheddar Cheese,9701.0
14,Oregano,9850.5
15,Pepper,7702.5
16,Garlic,4875.0
17,Fajita Seasoning,9127.0
18,Bell Peppers,9418.0
19,Bacon ,7090.0
20,Red Pepper Flakes,9857.5
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,6579.0
27,Breadcrumbs,9914.500000000207
28,Egg,9334.0
29,Fettuccini,2968.0
30,Butter,8726.0
31,Cream,9707.0
32,Romano Cheese,9780.25
33,Parmesan Cheese,9853.5
34,All Purpose Flour,7567.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9898.5
39,Barbecue Sauce,9898.5
40,Bacon Strips,8376.0
41,Steak Seasoning,9594.0
42,Hamburger Buns,9188.0
43,Lettuce Leaves,9188.0
44,Beef Cube Steaks,9803.5
45,Baking Powder,8828.0
46,Baking Soda,9607.0
47,Soy Sauce,6121.0
48,Sesame Oil,9509.5
49,Chicken Broth,9704.5
50,Sugar,7570.0
51,Noodles,3659.0
52,Vegetable Oil,6224.0
53,Mixed Veggies,9608.0
54,Asian Chile Paste,9608.0
55,Chickpeas,9318.0
56,Flour,9218.0
57,Cumin,9221.0
58,Caradamom,9609.0
59,Yogurt,9612.0
60,Tahini,9224.0
61,Pine Nuts,9224.0
62,Spinach,8824.0
63,Sushi Rice,9707.0
64,Rice Vinegar,9707.0
65,Sesame Seeds,8820.0
66,Bamboo Sushi Mat,8828.0
67,Crabmeat,9853.5
68,Tuna,9703.0
69,Chives,9851.5
70,Sweet Potato,9711.0
71,Mushroom,9226.0
72,Mirin,9422.0
73,Cabbage,9466.5
74,Pork Chops,9121.0
75,Shrimp,9608.0
76,Lemongrass,9216.0
77,Red Chilli Paste,9216.0
78,Fish Sauce,8072.0
79,Lime Juice,5715.0
80,Curry Powder,9613.0
81,Coconut Milk,8452.0
82,Chicken,8458.0
83,Oyster Sauce,9238.0
84,Ginger Garlic Paste,9223.0
85,Chili Powder,9222.0
86,Garam Masala,8646.5
87,Lemon,9616.0
88,Cilantro,8466.0
89,Tumeric Powder,9904.25
90,Potato,9234.0
91,Cauliflower,9808.5
