,Ingredient,Quantity
0,Oil,6343.0
1,Onion,6968.75
2,Corn Tortillas,2410.0
3,Eggs,6951.0
4,Salt,5988.0
5,Tomato Sauce,9145.0
6,Montery Jack Cheese,9617.5
7,Olive Oil,9251.0
8,Ground Beef,8905.0
9,Flour Tortillas,4890.0
10,Taco Shells,9498.0
11,Cheese,8146.0
12,Boneless Chicken Breast,7537.0
13,Cheddar Cheese,9744.0
14,Oregano,9872.0
15,Pepper,8006.0
16,Garlic,5530.0
17,Fajita Seasoning,9232.0
18,Bell Peppers,9488.0
19,Bacon ,7440.0
20,Red Pepper Flakes,9872.5
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,7025.0
27,Breadcrumbs,9923.500000000186
28,Egg,9412.0
29,Fettuccini,3976.0
30,Butter,8889.5
31,Cream,9749.0
32,Romano Cheese,9811.75
33,Parmesan Cheese,9874.5
34,All Purpose Flour,7893.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9915.5
39,Barbecue Sauce,9915.5
40,Bacon Strips,8648.0
41,Steak Seasoning,9662.0
42,Hamburger Buns,9324.0
43,Lettuce Leaves,9324.0
44,Beef Cube Steaks,9833.0
45,Baking Powder,8997.0
46,Baking Soda,9666.0
47,Soy Sauce,6611.0
48,Sesame Oil,9574.5
49,Chicken Broth,9743.5
50,Sugar,7873.0
51,Noodles,4469.0
52,Vegetable Oil,6719.0
53,Mixed Veggies,9660.0
54,Asian Chile Paste,9660.0
55,Chickpeas,9406.5
56,Flour,9326.0
57,Cumin,9321.0
58,Caradamom,9663.0
59,Yogurt,9658.0
60,Tahini,9316.0
61,Pine Nuts,9316.0
62,Spinach,8983.0
63,Sushi Rice,9746.0
64,Rice Vinegar,9746.0
65,Sesame Seeds,8994.0
66,Bamboo Sushi Mat,8984.0
67,Crabmeat,9873.0
68,Tuna,9751.0
69,Chives,9875.5
70,Sweet Potato,9741.0
71,Mushroom,9311.5
72,Mirin,9482.0
73,Cabbage,9535.5
74,Pork Chops,9235.0
75,Shrimp,9659.0
76,Lemongrass,9318.0
77,Red Chilli Paste,9318.0
78,Fish Sauce,8319.0
79,Lime Juice,6260.0
80,Curry Powder,9663.0
81,Coconut Milk,8652.0
82,Chicken,8654.0
83,Oyster Sauce,9334.0
84,Ginger Garlic Paste,9319.0
85,Chili Powder,9318.0
86,Garam Masala,8814.5
87,Lemon,9664.0
88,Cilantro,8658.0
89,Tumeric Powder,9916.25
90,Potato,9330.0
91,Cauliflower,9832.5
