,Ingredient,Quantity
0,Oil,6891.0
1,Onion,7422.0
2,Corn Tortillas,3490.0
3,Eggs,7382.0
4,Salt,6587.75
5,Tomato Sauce,9276.0
6,Montery Jack Cheese,9677.5
7,Olive Oil,9370.0
8,Ground Beef,9063.0
9,Flour Tortillas,5736.0
10,Taco Shells,9572.0
11,Cheese,8428.0
12,Boneless Chicken Breast,7926.5
13,Cheddar Cheese,9788.0
14,Oregano,9894.0
15,Pepper,8284.0
16,Garlic,6191.0
17,Fajita Seasoning,9358.0
18,Bell Peppers,9572.0
19,Bacon ,7860.0
20,Red Pepper Flakes,9888.5
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,7521.0
27,Breadcrumbs,9933.100000000162
28,Egg,9491.0
29,Fettuccini,4888.0
30,Butter,9055.0
31,Cream,9787.0
32,Romano Cheese,9840.25
33,Parmesan Cheese,9893.5
34,All Purpose Flour,8201.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9928.5
39,Barbecue Sauce,9928.5
40,Bacon Strips,8856.0
41,Steak Seasoning,9714.0
42,Hamburger Buns,9428.0
43,Lettuce Leaves,9428.0
44,Beef Cube Steaks,9856.5
45,Baking Powder,9142.0
46,Baking Soda,9713.0
47,Soy Sauce,7141.0
48,Sesame Oil,9645.75
49,Chicken Broth,9783.25
50,Sugar,8217.0
51,Noodles,5279.5
52,Vegetable Oil,7215.0
53,Mixed Veggies,9718.0
54,Asian Chile Paste,9718.0
55,Chickpeas,9494.25
56,Flour,9416.0
57,Cumin,9423.0
58,Caradamom,9708.0
59,Yogurt,9715.0
60,Tahini,9430.0
61,Pine Nuts,9430.0
62,Spinach,9121.0
63,Sushi Rice,9790.0
64,Rice Vinegar,9790.0
65,Sesame Seeds,9164.0
66,Bamboo Sushi Mat,9160.0
67,Crabmeat,9895.0
68,Tuna,9792.0
69,Chives,9896.0
70,Sweet Potato,9783.0
71,Mushroom,9425.0
72,Mirin,9566.0
73,Cabbage,9604.0
74,Pork Chops,9340.0
75,Shrimp,9718.0
76,Lemongrass,9436.0
77,Red Chilli Paste,9436.0
78,Fish Sauce,8574.0
79,Lime Juice,6869.0
80,Curry Powder,9714.0
81,Coconut Milk,8856.0
82,Chicken,8858.0
83,Oyster Sauce,9428.0
84,Ginger Garlic Paste,9425.0
85,Chili Powder,9420.0
86,Garam Masala,8995.0
87,Lemon,9715.0
88,Cilantro,8870.0
89,Tumeric Powder,9930.0
90,Potato,9440.0
91,Cauliflower,9860.0
