,Ingredient,Quantity
0,Oil,9764.0
1,Onion,9748.25
2,Corn Tortillas,9700.0
3,Eggs,9825.0
4,Salt,9690.25
5,Tomato Sauce,9937.0
6,Montery Jack Cheese,9982.0
7,Olive Oil,9941.0
8,Ground Beef,9916.0
9,Flour Tortillas,9652.0
10,Taco Shells,9958.0
11,Cheese,9850.0
12,Boneless Chicken Breast,9803.5
13,Cheddar Cheese,9978.0
14,Oregano,9989.0
15,Pepper,9849.0
16,Garlic,9684.0
17,Fajita Seasoning,9961.0
18,Bell Peppers,9974.0
19,Bacon ,9870.0
20,Red Pepper Flakes,9992.5
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,9785.0
27,Breadcrumbs,9995.500000000011
28,Egg,9960.0
29,Fettuccini,9472.0
30,Butter,9901.0
31,Cream,9978.0
32,Romano Cheese,9983.5
33,Parmesan Cheese,9989.0
34,All Purpose Flour,9837.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9993.25
39,Barbecue Sauce,9993.25
40,Bacon Strips,9892.0
41,Steak Seasoning,9973.0
42,Hamburger Buns,9946.0
43,Lettuce Leaves,9946.0
44,Beef Cube Steaks,9988.5
45,Baking Powder,9924.0
46,Baking Soda,9977.0
47,Soy Sauce,9729.0
48,Sesame Oil,9967.75
49,Chicken Broth,9978.25
50,Sugar,9826.0
51,Noodles,9617.5
52,Vegetable Oil,9710.0
53,Mixed Veggies,9975.0
54,Asian Chile Paste,9975.0
55,Chickpeas,9952.25
56,Flour,9942.0
57,Cumin,9946.0
58,Caradamom,9971.0
59,Yogurt,9975.0
60,Tahini,9950.0
61,Pine Nuts,9950.0
62,Spinach,9925.0
63,Sushi Rice,9976.0
64,Rice Vinegar,9976.0
65,Sesame Seeds,9914.0
66,Bamboo Sushi Mat,9904.0
67,Crabmeat,9988.0
68,Tuna,9981.0
69,Chives,9990.5
70,Sweet Potato,9977.0
71,Mushroom,9934.5
72,Mirin,9954.0
73,Cabbage,9970.5
74,Pork Chops,9949.0
75,Shrimp,9961.0
76,Lemongrass,9922.0
77,Red Chilli Paste,9922.0
78,Fish Sauce,9869.0
79,Lime Juice,9632.0
80,Curry Powder,9979.0
81,Coconut Milk,9916.0
82,Chicken,9906.0
83,Oyster Sauce,9950.0
84,Ginger Garlic Paste,9937.0
85,Chili Powder,9943.0
86,Garam Masala,9901.0
87,Lemon,9974.0
88,Cilantro,9884.0
89,Tumeric Powder,9992.0
90,Potato,9936.0
91,Cauliflower,9984.0
