,Ingredient,Quantity
0,Oil,8353.0
1,Onion,8611.75
2,Corn Tortillas,6730.0
3,Eggs,8644.0
4,Salt,8146.5
5,Tomato Sauce,9609.0
6,Montery Jack Cheese,9821.5
7,Olive Oil,9654.0
8,Ground Beef,9526.0
9,Flour Tortillas,7612.0
10,Taco Shells,9796.0
11,Cheese,9148.0
12,Boneless Chicken Breast,8856.5
13,Cheddar Cheese,9882.0
14,Oregano,9941.0
15,Pepper,9077.0
16,Garlic,7962.0
17,Fajita Seasoning,9628.0
18,Bell Peppers,9752.0
19,Bacon ,8760.0
20,Red Pepper Flakes,9946.0
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,8636.0
27,Breadcrumbs,9967.600000000079
28,Egg,9740.0
29,Fettuccini,7480.0
30,Butter,9485.5
31,Cream,9895.0
32,Romano Cheese,9921.25
33,Parmesan Cheese,9947.5
34,All Purpose Flour,8986.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9959.5
39,Barbecue Sauce,9959.5
40,Bacon Strips,9352.0
41,Steak Seasoning,9838.0
42,Hamburger Buns,9676.0
43,Lettuce Leaves,9676.0
44,Beef Cube Steaks,9919.0
45,Baking Powder,9513.0
46,Baking Soda,9838.0
47,Soy Sauce,8424.0
48,Sesame Oil,9803.25
49,Chicken Broth,9880.75
50,Sugar,9004.0
51,Noodles,7464.5
52,Vegetable Oil,8451.0
53,Mixed Veggies,9843.0
54,Asian Chile Paste,9843.0
55,Chickpeas,9728.5
56,Flour,9688.0
57,Cumin,9690.0
58,Caradamom,9844.0
59,Yogurt,9846.0
60,Tahini,9692.0
61,Pine Nuts,9692.0
62,Spinach,9541.0
63,Sushi Rice,9873.0
64,Rice Vinegar,9873.0
65,Sesame Seeds,9502.0
66,Bamboo Sushi Mat,9492.0
67,Crabmeat,9936.5
68,Tuna,9878.0
69,Chives,9939.0
70,Sweet Potato,9878.0
71,Mushroom,9676.5
72,Mirin,9756.0
73,Cabbage,9784.5
74,Pork Chops,9637.0
75,Shrimp,9841.0
76,Lemongrass,9682.0
77,Red Chilli Paste,9682.0
78,Fish Sauce,9227.0
79,Lime Juice,8247.0
80,Curry Powder,9845.0
81,Coconut Milk,9380.0
82,Chicken,9364.0
83,Oyster Sauce,9696.0
84,Ginger Garlic Paste,9680.0
85,Chili Powder,9673.0
86,Garam Masala,9432.0
87,Lemon,9837.0
88,Cilantro,9362.0
89,Tumeric Powder,9961.0
90,Potato,9688.0
91,Cauliflower,9922.0
