,Ingredient,Quantity
0,Oil,6653.0
1,Onion,7206.0
2,Corn Tortillas,2950.0
3,Eggs,7189.0
4,Salt,6298.25
5,Tomato Sauce,9215.0
6,Montery Jack Cheese,9648.5
7,Olive Oil,9299.0
8,Ground Beef,8992.0
9,Flour Tortillas,5306.0
10,Taco Shells,9542.0
11,Cheese,8282.0
12,Boneless Chicken Breast,7727.0
13,Cheddar Cheese,9763.0
14,Oregano,9881.5
15,Pepper,8154.5
16,Garlic,5882.0
17,Fajita Seasoning,9298.0
18,Bell Peppers,9532.0
19,Bacon ,7660.0
20,Red Pepper Flakes,9882.5
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,7229.0
27,Breadcrumbs,9929.500000000171
28,Egg,9456.0
29,Fettuccini,4456.0
30,Butter,8986.5
31,Cream,9769.0
32,Romano Cheese,9826.75
33,Parmesan Cheese,9884.5
34,All Purpose Flour,8035.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9921.25
39,Barbecue Sauce,9921.25
40,Bacon Strips,8740.0
41,Steak Seasoning,9685.0
42,Hamburger Buns,9370.0
43,Lettuce Leaves,9370.0
44,Beef Cube Steaks,9842.5
45,Baking Powder,9057.0
46,Baking Soda,9685.0
47,Soy Sauce,6864.0
48,Sesame Oil,9603.0
49,Chicken Broth,9760.0
50,Sugar,8031.0
51,Noodles,4912.0
52,Vegetable Oil,6965.0
53,Mixed Veggies,9683.0
54,Asian Chile Paste,9683.0
55,Chickpeas,9450.0
56,Flour,9368.0
57,Cumin,9372.0
58,Caradamom,9684.0
59,Yogurt,9688.0
60,Tahini,9376.0
61,Pine Nuts,9376.0
62,Spinach,9070.0
63,Sushi Rice,9760.0
64,Rice Vinegar,9760.0
65,Sesame Seeds,9048.0
66,Bamboo Sushi Mat,9040.0
67,Crabmeat,9880.0
68,Tuna,9764.0
69,Chives,9882.0
70,Sweet Potato,9767.0
71,Mushroom,9378.5
72,Mirin,9534.0
73,Cabbage,9574.0
74,Pork Chops,9286.0
75,Shrimp,9689.0
76,Lemongrass,9378.0
77,Red Chilli Paste,9378.0
78,Fish Sauce,8457.0
79,Lime Juice,6599.0
80,Curry Powder,9693.0
81,Coconut Milk,8772.0
82,Chicken,8768.0
83,Oyster Sauce,9382.0
84,Ginger Garlic Paste,9385.0
85,Chili Powder,9378.0
86,Garam Masala,8918.0
87,Lemon,9691.0
88,Cilantro,8778.0
89,Tumeric Powder,9924.5
90,Potato,9396.0
91,Cauliflower,9849.0
