,Ingredient,Quantity
0,Oil,9508.0
1,Onion,9512.75
2,Corn Tortillas,9040.0
3,Eggs,9575.0
4,Salt,9402.0
5,Tomato Sauce,9882.0
6,Montery Jack Cheese,9953.0
7,Olive Oil,9878.0
8,Ground Beef,9845.0
9,Flour Tortillas,9342.0
10,Taco Shells,9932.0
11,Cheese,9720.0
12,Boneless Chicken Breast,9636.5
13,Cheddar Cheese,9965.0
14,Oregano,9982.5
15,Pepper,9706.5
16,Garlic,9345.0
17,Fajita Seasoning,9907.0
18,Bell Peppers,9938.0
19,Bacon ,9690.0
20,Red Pepper Flakes,9983.0
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,9550.0
27,Breadcrumbs,9989.800000000025
28,Egg,9912.0
29,Fettuccini,9136.0
30,Butter,9834.0
31,Cream,9964.0
32,Romano Cheese,9973.0
33,Parmesan Cheese,9982.0
34,All Purpose Flour,9663.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9986.75
39,Barbecue Sauce,9986.75
40,Bacon Strips,9788.0
41,Steak Seasoning,9947.0
42,Hamburger Buns,9894.0
43,Lettuce Leaves,9894.0
44,Beef Cube Steaks,9974.0
45,Baking Powder,9840.0
46,Baking Soda,9948.0
47,Soy Sauce,9421.0
48,Sesame Oil,9931.25
49,Chicken Broth,9949.75
50,Sugar,9637.0
51,Noodles,9150.5
52,Vegetable Oil,9439.0
53,Mixed Veggies,9948.0
54,Asian Chile Paste,9948.0
55,Chickpeas,9916.0
56,Flour,9898.0
57,Cumin,9905.0
58,Caradamom,9949.0
59,Yogurt,9956.0
60,Tahini,9912.0
61,Pine Nuts,9912.0
62,Spinach,9850.0
63,Sushi Rice,9952.0
64,Rice Vinegar,9952.0
65,Sesame Seeds,9816.0
66,Bamboo Sushi Mat,9808.0
67,Crabmeat,9976.0
68,Tuna,9956.0
69,Chives,9978.0
70,Sweet Potato,9955.0
71,Mushroom,9880.5
72,Mirin,9910.0
73,Cabbage,9933.0
74,Pork Chops,9886.0
75,Shrimp,9941.0
76,Lemongrass,9882.0
77,Red Chilli Paste,9882.0
78,Fish Sauce,9737.0
79,Lime Juice,9389.0
80,Curry Powder,9952.0
81,Coconut Milk,9808.0
82,Chicken,9820.0
83,Oyster Sauce,9892.0
84,Ginger Garlic Paste,9887.0
85,Chili Powder,9907.0
86,Garam Masala,9834.0
87,Lemon,9958.0
88,Cilantro,9792.0
89,Tumeric Powder,9984.5
90,Potato,9876.0
91,Cauliflower,9969.0
