,Ingredient,Quantity
0,Oil,9151.0
1,Onion,9291.0
2,Corn Tortillas,8140.0
3,Eggs,9274.0
4,Salt,9057.5
5,Tomato Sauce,9801.0
6,Montery Jack Cheese,9917.0
7,Olive Oil,9826.0
8,Ground Beef,9759.0
9,Flour Tortillas,8936.0
10,Taco Shells,9896.0
11,Cheese,9576.0
12,Boneless Chicken Breast,9440.0
13,Cheddar Cheese,9945.0
14,Oregano,9972.5
15,Pepper,9533.5
16,Garlic,8962.0
17,Fajita Seasoning,9844.0
18,Bell Peppers,9896.0
19,Bacon ,9480.0
20,Red Pepper Flakes,9971.5
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,9335.0
27,Breadcrumbs,9982.900000000041
28,Egg,9861.0
29,Fettuccini,8776.0
30,Butter,9744.5
31,Cream,9949.0
32,Romano Cheese,9961.75
33,Parmesan Cheese,9974.5
34,All Purpose Flour,9491.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9980.0
39,Barbecue Sauce,9980.0
40,Bacon Strips,9680.0
41,Steak Seasoning,9920.0
42,Hamburger Buns,9840.0
43,Lettuce Leaves,9840.0
44,Beef Cube Steaks,9959.0
45,Baking Powder,9755.0
46,Baking Soda,9918.0
47,Soy Sauce,9184.0
48,Sesame Oil,9903.0
49,Chicken Broth,9937.0
50,Sugar,9494.0
51,Noodles,8662.0
52,Vegetable Oil,9205.0
53,Mixed Veggies,9924.0
54,Asian Chile Paste,9924.0
55,Chickpeas,9859.0
56,Flour,9838.0
57,Cumin,9839.0
58,Caradamom,9919.0
59,Yogurt,9920.0
60,Tahini,9840.0
61,Pine Nuts,9840.0
62,Spinach,9769.0
63,Sushi Rice,9938.0
64,Rice Vinegar,9938.0
65,Sesame Seeds,9754.0
66,Bamboo Sushi Mat,9752.0
67,Crabmeat,9969.0
68,Tuna,9939.0
69,Chives,9969.5
70,Sweet Potato,9937.0
71,Mushroom,9834.0
72,Mirin,9874.0
73,Cabbage,9890.0
74,Pork Chops,9820.0
75,Shrimp,9920.0
76,Lemongrass,9840.0
77,Red Chilli Paste,9840.0
78,Fish Sauce,9596.0
79,Lime Juice,9115.0
80,Curry Powder,9920.0
81,Coconut Milk,9680.0
82,Chicken,9686.0
83,Oyster Sauce,9836.0
84,Ginger Garlic Paste,9836.0
85,Chili Powder,9841.0
86,Garam Masala,9723.0
87,Lemon,9923.0
88,Cilantro,9682.0
89,Tumeric Powder,9979.5
90,Potato,9836.0
91,Cauliflower,9959.0
