,Ingredient,Quantity
0,Oil,5505.0
1,Onion,6282.75
2,Corn Tortillas,640.0
3,Eggs,6252.0
4,Salt,5053.75
5,Tomato Sauce,8950.0
6,Montery Jack Cheese,9530.0
7,Olive Oil,9073.0
8,Ground Beef,8647.0
9,Flour Tortillas,3734.0
10,Taco Shells,9378.0
11,Cheese,7714.0
12,Boneless Chicken Breast,6973.5
13,Cheddar Cheese,9687.0
14,Oregano,9843.5
15,Pepper,7546.5
16,Garlic,4489.0
17,Fajita Seasoning,9058.0
18,Bell Peppers,9372.0
19,Bacon ,6860.0
20,Red Pepper Flakes,9842.5
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,6349.0
27,Breadcrumbs,9905.50000000023
28,Egg,9271.0
29,Fettuccini,2560.0
30,Butter,8631.0
31,Cream,9690.0
32,Romano Cheese,9767.5
33,Parmesan Cheese,9845.0
34,All Purpose Flour,7398.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9896.0
39,Barbecue Sauce,9896.0
40,Bacon Strips,8336.0
41,Steak Seasoning,9584.0
42,Hamburger Buns,9168.0
43,Lettuce Leaves,9168.0
44,Beef Cube Steaks,9793.5
45,Baking Powder,8756.0
46,Baking Soda,9587.0
47,Soy Sauce,5838.0
48,Sesame Oil,9479.25
49,Chicken Broth,9688.75
50,Sugar,7391.0
51,Noodles,3152.5
52,Vegetable Oil,5948.0
53,Mixed Veggies,9583.0
54,Asian Chile Paste,9583.0
55,Chickpeas,9270.5
56,Flour,9168.0
57,Cumin,9166.0
58,Caradamom,9584.0
59,Yogurt,9582.0
60,Tahini,9164.0
61,Pine Nuts,9164.0
62,Spinach,8752.0
63,Sushi Rice,9686.0
64,Rice Vinegar,9686.0
65,Sesame Seeds,8756.0
66,Bamboo Sushi Mat,8744.0
67,Crabmeat,9843.0
68,Tuna,9692.0
69,Chives,9846.0
70,Sweet Potato,9684.0
71,Mushroom,9158.0
72,Mirin,9368.0
73,Cabbage,9428.0
74,Pork Chops,9064.0
75,Shrimp,9580.0
76,Lemongrass,9160.0
77,Red Chilli Paste,9160.0
78,Fish Sauce,7920.0
79,Lime Juice,5396.0
80,Curry Powder,9584.0
81,Coconut Milk,8336.0
82,Chicken,8344.0
83,Oyster Sauce,9172.0
84,Ginger Garlic Paste,9162.0
85,Chili Powder,9163.0
86,Garam Masala,8544.5
87,Lemon,9588.0
88,Cilantro,8350.0
89,Tumeric Powder,9896.75
90,Potato,9174.0
91,Cauliflower,9793.5
