,Ingredient,Quantity
0,Oil,8629.0
1,Onion,8800.0
2,Corn Tortillas,7210.0
3,Eggs,8813.0
4,Salt,8477.0
5,Tomato Sauce,9670.0
6,Montery Jack Cheese,9847.5
7,Olive Oil,9713.0
8,Ground Beef,9605.0
9,Flour Tortillas,7962.0
10,Taco Shells,9822.0
11,Cheese,9322.0
12,Boneless Chicken Breast,9032.0
13,Cheddar Cheese,9900.0
14,Oregano,9950.0
15,Pepper,9225.0
16,Garlic,8273.0
17,Fajita Seasoning,9682.0
18,Bell Peppers,9788.0
19,Bacon ,8940.0
20,Red Pepper Flakes,9954.0
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,8820.0
27,Breadcrumbs,9972.400000000067
28,Egg,9780.0
29,Fettuccini,7840.0
30,Butter,9574.0
31,Cream,9910.0
32,Romano Cheese,9932.5
33,Parmesan Cheese,9955.0
34,All Purpose Flour,9199.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9968.75
39,Barbecue Sauce,9968.75
40,Bacon Strips,9500.0
41,Steak Seasoning,9875.0
42,Hamburger Buns,9750.0
43,Lettuce Leaves,9750.0
44,Beef Cube Steaks,9939.0
45,Baking Powder,9632.0
46,Baking Soda,9878.0
47,Soy Sauce,8660.0
48,Sesame Oil,9829.5
49,Chicken Broth,9896.5
50,Sugar,9149.0
51,Noodles,7915.0
52,Vegetable Oil,8734.0
53,Mixed Veggies,9864.0
54,Asian Chile Paste,9864.0
55,Chickpeas,9777.75
56,Flour,9740.0
57,Cumin,9747.0
58,Caradamom,9870.0
59,Yogurt,9877.0
60,Tahini,9754.0
61,Pine Nuts,9754.0
62,Spinach,9577.0
63,Sushi Rice,9893.0
64,Rice Vinegar,9893.0
65,Sesame Seeds,9588.0
66,Bamboo Sushi Mat,9572.0
67,Crabmeat,9946.5
68,Tuna,9901.0
69,Chives,9950.5
70,Sweet Potato,9897.0
71,Mushroom,9727.5
72,Mirin,9794.0
73,Cabbage,9824.5
74,Pork Chops,9691.0
75,Shrimp,9867.0
76,Lemongrass,9734.0
77,Red Chilli Paste,9734.0
78,Fish Sauce,9363.0
79,Lime Juice,8542.0
80,Curry Powder,9876.0
81,Coconut Milk,9504.0
82,Chicken,9486.0
83,Oyster Sauce,9744.0
84,Ginger Garlic Paste,9732.0
85,Chili Powder,9730.0
86,Garam Masala,9531.5
87,Lemon,9867.0
88,Cilantro,9472.0
89,Tumeric Powder,9967.25
90,Potato,9738.0
91,Cauliflower,9934.5
