,Ingredient,Quantity
0,Oil,8875.0
1,Onion,9064.5
2,Corn Tortillas,7630.0
3,Eggs,9042.0
4,Salt,8765.5
5,Tomato Sauce,9726.0
6,Montery Jack Cheese,9884.5
7,Olive Oil,9777.0
8,Ground Beef,9673.0
9,Flour Tortillas,8454.0
10,Taco Shells,9854.0
11,Cheese,9434.0
12,Boneless Chicken Breast,9232.0
13,Cheddar Cheese,9920.0
14,Oregano,9960.0
15,Pepper,9387.0
16,Garlic,8603.0
17,Fajita Seasoning,9772.0
18,Bell Peppers,9848.0
19,Bacon ,9240.0
20,Red Pepper Flakes,9962.0
21,Bacon,10000
22,Dry Yeast,10000
23,Bread Flour,10000
24,Red Onion,10000
25,Fresh Mozzarella Cheese,10000
26,Spaghetti,9036.0
27,Breadcrumbs,9977.200000000055
28,Egg,9821.0
29,Fettuccini,8152.0
30,Butter,9642.0
31,Cream,9923.0
32,Romano Cheese,9942.25
33,Parmesan Cheese,9961.5
34,All Purpose Flour,9379.0
35,Bread,10000
36,Turkey Breast Roast,10000
37,Baby Spinach,10000
38,Mayonnaise,9973.75
39,Barbecue Sauce,9973.75
40,Bacon Strips,9580.0
41,Steak Seasoning,9895.0
42,Hamburger Buns,9790.0
43,Lettuce Leaves,9790.0
44,Beef Cube Steaks,9954.0
45,Baking Powder,9714.0
46,Baking Soda,9908.0
47,Soy Sauce,8965.0
48,Sesame Oil,9863.5
49,Chicken Broth,9923.5
50,Sugar,9337.0
51,Noodles,8317.0
52,Vegetable Oil,9017.0
53,Mixed Veggies,9889.0
54,Asian Chile Paste,9889.0
55,Chickpeas,9821.0
56,Flour,9798.0
57,Cumin,9795.0
58,Caradamom,9899.0
59,Yogurt,9896.0
60,Tahini,9792.0
61,Pine Nuts,9792.0
62,Spinach,9670.0
63,Sushi Rice,9914.0
64,Rice Vinegar,9914.0
65,Sesame Seeds,9678.0
66,Bamboo Sushi Mat,9656.0
67,Crabmeat,9957.0
68,Tuna,9925.0
69,Chives,9962.5
70,Sweet Potato,9925.0
71,Mushroom,9796.0
72,Mirin,9850.0
73,Cabbage,9859.5
74,Pork Chops,9763.0
75,Shrimp,9892.0
76,Lemongrass,9784.0
77,Red Chilli Paste,9784.0
78,Fish Sauce,9484.0
79,Lime Juice,8822.0
80,Curry Powder,9899.0
81,Coconut Milk,9596.0
82,Chicken,9576.0
83,Oyster Sauce,9794.0
84,Ginger Garlic Paste,9787.0
85,Chili Powder,9774.0
86,Garam Masala,9614.0
87,Lemon,9889.0
88,Cilantro,9582.0
89,Tumeric Powder,9975.5
90,Potato,9804.0
91,Cauliflower,9951.0
